 2016-07-14 19:32:32,107 [P8584/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on HOME
 2016-07-14 19:32:32,197 [P8584/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-07-14 19:32:32,209 [P8584/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 12ms)
 2016-07-14 19:32:32,282 [P8584/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-07-14 19:32:32,314 [P8584/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 32ms)
 2016-07-14 19:32:32,351 [P8584/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-07-14 19:32:32,352 [P8584/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
 2016-07-14 19:32:32,353 [P8584/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-07-14 19:32:32,354 [P8584/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 0ms)
 2016-07-14 19:32:32,376 [P8584/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-07-14 19:32:32,377 [P8584/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 0ms)
 2016-07-14 19:32:32,377 [P8584/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-07-14 19:32:32,380 [P8584/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 3ms)
 2016-07-14 19:32:32,433 [P8584/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-07-14 19:32:32,434 [P8584/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2016-07-14 19:32:32,434 [P8584/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-07-14 19:32:32,434 [P8584/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-07-14 19:32:34,588 [P8584/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-07-14 19:32:35,264 [P8584/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-07-14 19:32:35,286 [P8584/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-07-14 19:32:35,578 [P8584/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-07-14 19:32:35,715 [P8584/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-07-14 19:32:35,949 [P8584/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-07-14 19:32:36,047 [P8584/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 4120ms)
 2016-07-14 19:32:38,100 [P8584/D2/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:180/umbraco (UmbracoModule request)
 2016-07-14 19:32:38,369 [P8584/D2/T10] INFO  umbraco.content - Load Xml from file...
 2016-07-14 19:32:38,393 [P8584/D2/T10] INFO  umbraco.content - Loaded Xml from file.
 2016-07-14 19:32:39,715 [P8584/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-07-14 19:32:39,716 [P8584/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 0ms)
